openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1328054400000,1328054459000,1.23273,1.23343,1.23268,1.23326,250350000,1
1328054460000,1328054519000,1.23323,1.23385,1.23323,1.23375,243030000,1
1328054520000,1328054579000,1.23403,1.23407,1.23331,1.23333,193350000,1
1328054580000,1328054639000,1.23333,1.23349,1.23304,1.23308,164250000,1
1328054640000,1328054699000,1.23308,1.23331,1.23299,1.23302,177750000,1
1328054700000,1328054759000,1.233,1.23304,1.2329,1.23292,81000000,1
1328054760000,1328054819000,1.23292,1.23301,1.23283,1.23289,71940000,1
1328054820000,1328054879000,1.23285,1.23295,1.23267,1.23279,138460000,1
1328054880000,1328054939000,1.23281,1.23297,1.23274,1.23282,78300000,1
1328054940000,1328054999000,1.23284,1.23293,1.23259,1.23263,127810000,1
1328055000000,1328055059000,1.23268,1.23269,1.2326,1.23262,81300000,1
1328055060000,1328055119000,1.23263,1.23289,1.23262,1.23281,144450000,1
1328055120000,1328055179000,1.23282,1.23294,1.23275,1.23281,128100000,1
1328055180000,1328055239000,1.23281,1.233,1.23272,1.23276,43500000,1
1328055240000,1328055299000,1.23284,1.23346,1.23284,1.23346,164730000,1
1328055300000,1328055359000,1.23346,1.23366,1.2333,1.2333,167100000,1
1328055360000,1328055419000,1.2333,1.2333,1.23314,1.23319,90300000,1
1328055420000,1328055479000,1.23316,1.23327,1.23309,1.23312,106050000,1
1328055480000,1328055539000,1.23316,1.23318,1.23296,1.23302,63450000,1
1328055540000,1328055599000,1.23297,1.233,1.23274,1.23293,136500000,1
1328055600000,1328055659000,1.23292,1.23293,1.23265,1.23266,169130000,1
1328055660000,1328055719000,1.23264,1.23278,1.23251,1.23257,182850000,1
1328055720000,1328055779000,1.23264,1.23275,1.23257,1.23257,102680000,1
1328055780000,1328055839000,1.23258,1.23267,1.23255,1.23264,92850000,1
1328055840000,1328055899000,1.23264,1.23283,1.23259,1.23283,93000000,1
1328055900000,1328055959000,1.23283,1.23287,1.2326,1.23271,179550000,1
1328055960000,1328056019000,1.23271,1.23275,1.23251,1.23266,127730000,1
1328056020000,1328056079000,1.23266,1.23278,1.23262,1.23262,96600000,1
