openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1659312000000,1659312059000,133.367,133.409,133.324,133.385,479880000,1
1659312060000,1659312119000,133.385,133.39,133.331,133.36,418240000,1
1659312120000,1659312179000,133.36,133.389,133.351,133.374,293510000,1
1659312180000,1659312239000,133.375,133.375,133.305,133.316,297340000,1
1659312240000,1659312299000,133.316,133.335,133.311,133.314,224740000,1
1659312300000,1659312359000,133.313,133.339,133.277,133.286,559790000,1
1659312360000,1659312419000,133.282,133.298,133.278,133.294,273330000,1
1659312420000,1659312479000,133.291,133.291,133.233,133.234,273120000,1
1659312480000,1659312539000,133.234,133.263,133.234,133.237,272180000,1
1659312540000,1659312599000,133.236,133.249,133.226,133.241,205310000,1
1659312600000,1659312659000,133.24,133.241,133.149,133.157,610610000,1
1659312660000,1659312719000,133.157,133.193,133.131,133.185,427960000,1
1659312720000,1659312779000,133.185,133.187,133.155,133.159,331700000,1
1659312780000,1659312839000,133.157,133.157,133.051,133.077,599140000,1
1659312840000,1659312899000,133.078,133.105,133.061,133.083,370350000,1
1659312900000,1659312959000,133.082,133.088,133.041,133.054,488340000,1
1659312960000,1659313019000,133.053,133.056,133.035,133.055,336100000,1
1659313020000,1659313079000,133.054,133.054,132.957,133.004,758510000,1
1659313080000,1659313139000,133.004,133.054,132.994,133.031,359730000,1
1659313140000,1659313199000,133.035,133.06,132.998,133.001,404670000,1
1659313200000,1659313259000,133.001,133.002,132.912,132.932,398190000,1
1659313260000,1659313319000,132.933,132.949,132.9,132.947,353320000,1
1659313320000,1659313379000,132.947,132.966,132.812,132.833,705550000,1
1659313380000,1659313439000,132.832,132.871,132.805,132.87,439140000,1
1659313440000,1659313499000,132.875,132.879,132.846,132.87,408630000,1
1659313500000,1659313559000,132.869,132.954,132.869,132.922,604770000,1
1659313560000,1659313619000,132.923,132.93,132.867,132.868,223750000,1
1659313620000,1659313679000,132.868,132.892,132.849,132.868,211390000,1
1659313680000,1659313739000,132.868,132.94,132.868,132.928,256050000,1
1659313740000,1659313799000,132.928,132.973,132.925,132.97,187770000,1
1659313800000,1659313859000,132.97,133.024,132.97,133.006,444100000,1
1659313860000,1659313919000,133.009,133.05,133.009,133.048,551440000,1
1659313920000,1659313979000,133.049,133.066,133.026,133.036,477930000,1
1659313980000,1659314039000,133.042,133.042,133.009,133.04,265250000,1
1659314040000,1659314099000,133.04,133.06,133.039,133.058,260160000,1
1659314100000,1659314159000,133.058,133.083,133.048,133.056,479220000,1
1659314160000,1659314219000,133.059,133.059,132.989,132.99,379670000,1
1659314220000,1659314279000,132.99,133.001,132.93,132.944,399630000,1
1659314280000,1659314339000,132.943,132.951,132.895,132.926,421480000,1
1659314340000,1659314399000,132.929,132.934,132.869,132.884,472140000,1
1659314400000,1659314459000,132.886,132.922,132.847,132.908,674750000,1
1659314460000,1659314519000,132.911,132.966,132.91,132.943,298800000,1
1659314520000,1659314579000,132.946,132.953,132.883,132.903,373690000,1
1659314580000,1659314639000,132.907,132.911,132.856,132.878,419710000,1
1659314640000,1659314699000,132.878,132.94,132.878,132.905,590910000,1
1659314700000,1659314759000,132.906,132.948,132.884,132.941,507140000,1
1659314760000,1659314819000,132.946,132.957,132.912,132.912,272530000,1
1659314820000,1659314879000,132.911,132.933,132.89,132.93,160480000,1
1659314880000,1659314939000,132.929,132.929,132.831,132.884,596040000,1
1659314940000,1659314999000,132.882,132.911,132.849,132.858,324910000,1
1659315000000,1659315059000,132.856,132.86,132.802,132.832,570290000,1
1659315060000,1659315119000,132.832,132.859,132.821,132.832,483600000,1
1659315120000,1659315179000,132.827,132.827,132.759,132.81,589850000,1
1659315180000,1659315239000,132.811,132.831,132.771,132.788,631370000,1
