openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1630454400000,1630454459000,151.344,151.379,151.341,151.359,172890000,1
1630454460000,1630454519000,151.359,151.383,151.351,151.371,168690000,1
1630454520000,1630454579000,151.37,151.379,151.342,151.352,212090000,1
1630454580000,1630454639000,151.352,151.374,151.35,151.352,158680000,1
1630454640000,1630454699000,151.352,151.379,151.352,151.371,77750000,1
1630454700000,1630454759000,151.372,151.372,151.351,151.36,123000000,1
1630454760000,1630454819000,151.362,151.379,151.362,151.376,103180000,1
1630454820000,1630454879000,151.377,151.393,151.376,151.39,135780000,1
1630454880000,1630454939000,151.391,151.404,151.386,151.397,100390000,1
1630454940000,1630454999000,151.395,151.413,151.393,151.396,117270000,1
1630455000000,1630455059000,151.393,151.401,151.389,151.393,118760000,1
1630455060000,1630455119000,151.397,151.41,151.396,151.404,76810000,1
1630455120000,1630455179000,151.405,151.422,151.405,151.422,73950000,1
1630455180000,1630455239000,151.424,151.44,151.419,151.439,93390000,1
1630455240000,1630455299000,151.44,151.444,151.431,151.44,107400000,1
1630455300000,1630455359000,151.447,151.456,151.433,151.433,168540000,1
1630455360000,1630455419000,151.435,151.445,151.43,151.434,104120000,1
1630455420000,1630455479000,151.432,151.435,151.406,151.408,101290000,1
1630455480000,1630455539000,151.409,151.423,151.409,151.419,22620000,1
1630455540000,1630455599000,151.416,151.425,151.405,151.407,59270000,1
1630455600000,1630455659000,151.406,151.421,151.406,151.417,69780000,1
1630455660000,1630455719000,151.418,151.418,151.402,151.407,82600000,1
1630455720000,1630455779000,151.4,151.401,151.393,151.397,103100000,1
1630455780000,1630455839000,151.397,151.408,151.397,151.402,74610000,1
1630455840000,1630455899000,151.403,151.403,151.387,151.388,71840000,1
1630455900000,1630455959000,151.388,151.404,151.388,151.398,80550000,1
1630455960000,1630456019000,151.399,151.42,151.397,151.417,78930000,1
1630456020000,1630456079000,151.418,151.43,151.415,151.427,90040000,1
1630456080000,1630456139000,151.425,151.434,151.424,151.43,91870000,1
1630456140000,1630456199000,151.43,151.437,151.426,151.428,56590000,1
1630456200000,1630456259000,151.428,151.43,151.404,151.405,92200000,1
1630456260000,1630456319000,151.405,151.426,151.405,151.416,65840000,1
1630456320000,1630456379000,151.418,151.449,151.417,151.44,112460000,1
1630456380000,1630456439000,151.44,151.442,151.425,151.429,109810000,1
1630456440000,1630456499000,151.429,151.436,151.424,151.431,55630000,1
1630456500000,1630456559000,151.431,151.435,151.425,151.426,35760000,1
1630456560000,1630456619000,151.426,151.435,151.426,151.433,30310000,1
1630456620000,1630456679000,151.432,151.436,151.414,151.423,62270000,1
1630456680000,1630456739000,151.422,151.423,151.41,151.41,39920000,1
1630456740000,1630456799000,151.409,151.421,151.402,151.406,96140000,1
1630456800000,1630456859000,151.405,151.408,151.379,151.388,109620000,1
1630456860000,1630456919000,151.387,151.407,151.382,151.406,93380000,1
1630456920000,1630456979000,151.406,151.406,151.391,151.391,41610000,1
1630456980000,1630457039000,151.39,151.393,151.375,151.38,66930000,1
1630457040000,1630457099000,151.378,151.388,151.374,151.384,42310000,1
1630457100000,1630457159000,151.383,151.387,151.373,151.386,87290000,1
1630457160000,1630457219000,151.386,151.387,151.367,151.371,55700000,1
1630457220000,1630457279000,151.371,151.371,151.36,151.362,61880000,1
1630457280000,1630457339000,151.362,151.366,151.357,151.363,87110000,1
1630457340000,1630457399000,151.364,151.368,151.357,151.362,55970000,1
1630457400000,1630457459000,151.362,151.363,151.342,151.351,121740000,1
1630457460000,1630457519000,151.35,151.354,151.329,151.349,92370000,1
1630457520000,1630457579000,151.35,151.381,151.35,151.381,79020000,1
1630457580000,1630457639000,151.382,151.405,151.374,151.383,192960000,1
1630457640000,1630457699000,151.385,151.385,151.331,151.357,244590000,1
1630457700000,1630457759000,151.355,151.37,151.324,151.355,205460000,1
1630457760000,1630457819000,151.355,151.38,151.355,151.367,140810000,1
1630457820000,1630457879000,151.368,151.376,151.36,151.365,94500000,1
1630457880000,1630457939000,151.37,151.374,151.356,151.365,83230000,1
1630457940000,1630457999000,151.366,151.374,151.355,151.355,66890000,1
1630458000000,1630458059000,151.355,151.364,151.339,151.355,108070000,1
1630458060000,1630458119000,151.354,151.356,151.336,151.343,170090000,1
1630458120000,1630458179000,151.343,151.355,151.34,151.351,73030000,1
1630458180000,1630458239000,151.352,151.365,151.349,151.362,52610000,1
1630458240000,1630458299000,151.362,151.371,151.358,151.362,52030000,1
1630458300000,1630458359000,151.36,151.363,151.355,151.355,59830000,1
1630458360000,1630458419000,151.357,151.369,151.353,151.357,64500000,1
1630458420000,1630458479000,151.358,151.362,151.338,151.358,92720000,1
1630458480000,1630458539000,151.357,151.364,151.351,151.353,96040000,1
1630458540000,1630458599000,151.352,151.355,151.345,151.353,48760000,1
1630458600000,1630458659000,151.354,151.369,151.354,151.363,38440000,1
1630458660000,1630458719000,151.363,151.373,151.355,151.36,46890000,1
1630458720000,1630458779000,151.36,151.374,151.359,151.371,58000000,1
1630458780000,1630458839000,151.372,151.372,151.364,151.367,24100000,1
1630458840000,1630458899000,151.368,151.407,151.368,151.404,116540000,1
1630458900000,1630458959000,151.405,151.426,151.396,151.426,109500000,1
1630458960000,1630459019000,151.428,151.429,151.407,151.419,94660000,1
1630459020000,1630459079000,151.417,151.418,151.401,151.411,81720000,1
1630459080000,1630459139000,151.412,151.412,151.4,151.406,76760000,1
1630459140000,1630459199000,151.407,151.412,151.392,151.409,79210000,1
1630459200000,1630459259000,151.409,151.41,151.381,151.385,58370000,1
1630459260000,1630459319000,151.385,151.399,151.383,151.397,70870000,1
1630459320000,1630459379000,151.399,151.408,151.378,151.382,92100000,1
1630459380000,1630459439000,151.383,151.385,151.377,151.378,46590000,1
1630459440000,1630459499000,151.378,151.378,151.354,151.363,76690000,1
1630459500000,1630459559000,151.363,151.372,151.361,151.372,25940000,1
1630459560000,1630459619000,151.372,151.374,151.372,151.372,11750000,1
1630459620000,1630459679000,151.371,151.388,151.371,151.387,49990000,1
1630459680000,1630459739000,151.388,151.401,151.385,151.401,67360000,1
1630459740000,1630459799000,151.401,151.411,151.389,151.397,86440000,1
1630459800000,1630459859000,151.398,151.424,151.391,151.406,185230000,1
1630459860000,1630459919000,151.405,151.405,151.378,151.389,88900000,1
