openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1172707200000,1172707259000,233.127,233.167,233.113,233.167,29900000,1
1172707260000,1172707319000,233.182,233.187,233.17,233.17,35700000,1
1172707320000,1172707379000,233.186,233.191,233.164,233.164,41800000,1
1172707380000,1172707439000,233.167,233.17,233.125,233.125,46200000,1
1172707440000,1172707499000,233.117,233.133,233.093,233.125,52900000,1
1172707500000,1172707559000,233.142,233.149,233.109,233.14,45800000,1
1172707560000,1172707619000,233.153,233.176,233.153,233.168,31400000,1
1172707620000,1172707679000,233.158,233.161,233.128,233.149,34700000,1
1172707680000,1172707739000,233.145,233.145,233.101,233.133,102200000,1
1172707740000,1172707799000,233.129,233.134,233.119,233.119,51700000,1
1172707800000,1172707859000,233.127,233.144,233.091,233.14,105000000,1
1172707860000,1172707919000,233.145,233.15,233.142,233.147,94600000,1
1172707920000,1172707979000,233.141,233.174,233.137,233.174,49600000,1
1172707980000,1172708039000,233.182,233.194,233.163,233.17,39900000,1
1172708040000,1172708099000,233.186,233.205,233.172,233.194,34400000,1
1172708100000,1172708159000,233.207,233.253,233.207,233.236,32800000,1
1172708160000,1172708219000,233.234,233.25,233.218,233.229,52500000,1
1172708220000,1172708279000,233.212,233.212,233.149,233.165,52600000,1
1172708280000,1172708339000,233.165,233.211,233.165,233.211,30700000,1
1172708340000,1172708399000,233.222,233.277,233.222,233.262,29300000,1
1172708400000,1172708459000,233.274,233.307,233.274,233.292,91600000,1
1172708460000,1172708519000,233.271,233.271,233.212,233.221,80200000,1
1172708520000,1172708579000,233.22,233.228,233.187,233.191,67200000,1
1172708580000,1172708639000,233.186,233.189,233.145,233.145,58300000,1
1172708640000,1172708699000,233.149,233.161,233.11,233.11,37000000,1
1172708700000,1172708759000,233.109,233.109,233.055,233.107,39600000,1
1172708760000,1172708819000,233.101,233.101,233.022,233.035,77700000,1
1172708820000,1172708879000,233.046,233.092,233.043,233.092,28500000,1
1172708880000,1172708939000,233.083,233.088,233.056,233.085,39000000,1
1172708940000,1172708999000,233.103,233.107,233.094,233.094,70100000,1
1172709000000,1172709059000,233.099,233.13,233.085,233.085,66000000,1
1172709060000,1172709119000,233.107,233.147,233.097,233.143,31500000,1
1172709120000,1172709179000,233.159,233.173,233.151,233.151,42100000,1
1172709180000,1172709239000,233.167,233.193,233.156,233.156,15500000,1
1172709240000,1172709299000,233.209,233.223,233.187,233.204,38900000,1
1172709300000,1172709359000,233.197,233.21,233.184,233.21,47100000,1
1172709360000,1172709419000,233.232,233.254,233.186,233.254,64700000,1
1172709420000,1172709479000,233.257,233.264,233.236,233.254,43800000,1
1172709480000,1172709539000,233.224,233.269,233.224,233.262,43100000,1
1172709540000,1172709599000,233.272,233.272,233.25,233.269,78500000,1
1172709600000,1172709659000,233.258,233.278,233.251,233.265,70500000,1
1172709660000,1172709719000,233.278,233.278,233.23,233.265,46800000,1
1172709720000,1172709779000,233.249,233.274,233.22,233.248,58000000,1
1172709780000,1172709839000,233.279,233.279,233.22,233.234,69500000,1
1172709840000,1172709899000,233.257,233.257,233.206,233.238,21300000,1
1172709900000,1172709959000,233.187,233.213,233.17,233.192,40700000,1
1172709960000,1172710019000,233.171,233.202,233.159,233.198,40100000,1
1172710020000,1172710079000,233.211,233.226,233.166,233.226,38300000,1
1172710080000,1172710139000,233.235,233.25,233.222,233.222,81700000,1
1172710140000,1172710199000,233.225,233.234,233.191,233.214,56100000,1
1172710200000,1172710259000,233.211,233.211,233.176,233.207,42200000,1
1172710260000,1172710319000,233.249,233.249,233.207,233.224,53300000,1
1172710320000,1172710379000,233.21,233.21,233.167,233.2,57400000,1
1172710380000,1172710439000,233.195,233.213,233.174,233.213,42100000,1
1172710440000,1172710499000,233.216,233.26,233.216,233.26,35000000,1
1172710500000,1172710559000,233.212,233.212,233.13,233.145,60900000,1
1172710560000,1172710619000,233.136,233.193,233.134,233.193,58100000,1
1172710620000,1172710679000,233.191,233.191,233.139,233.15,44500000,1
1172710680000,1172710739000,233.14,233.14,233.078,233.099,72600000,1
1172710740000,1172710799000,233.089,233.103,233.048,233.048,56700000,1
1172710800000,1172710859000,233.052,233.091,233.026,233.087,47000000,1
1172710860000,1172710919000,233.105,233.16,233.093,233.16,50000000,1
1172710920000,1172710979000,233.155,233.166,233.131,233.131,82600000,1
1172710980000,1172711039000,233.143,233.143,233.096,233.11,45000000,1
