openEpochMillis,closeEpochMillis,open,high,low,close,volume,sourceBars
1314835200000,1314835679000,1.34436,1.34471,1.34407,1.34438,692000000,8
1314835680000,1314836159000,1.34436,1.34521,1.34377,1.34508,717000000,8
1314836160000,1314836639000,1.34507,1.3452,1.34456,1.345,798000000,8
1314836640000,1314837119000,1.34497,1.34509,1.34456,1.34495,662000000,8
1314837120000,1314837599000,1.34495,1.34519,1.34455,1.34475,734000000,8
1314837600000,1314838079000,1.34475,1.34494,1.34427,1.34441,670000000,8
1314838080000,1314838559000,1.34441,1.34466,1.34396,1.3442,962000000,8
1314838560000,1314839039000,1.34423,1.34525,1.3438,1.34456,896000000,8
1314839040000,1314839519000,1.34459,1.3451,1.34425,1.34494,833000000,8
1314839520000,1314839999000,1.34494,1.34503,1.3444,1.34474,867000000,8
1314840000000,1314840479000,1.34474,1.34584,1.34439,1.34517,1038000000,8
1314840480000,1314840959000,1.34517,1.34706,1.34142,1.34261,1613000000,8
1314840960000,1314841439000,1.34261,1.34306,1.34116,1.34116,1062000000,8
1314841440000,1314841919000,1.34116,1.34123,1.3402,1.34038,1084000000,8
1314841920000,1314842399000,1.34038,1.34191,1.34038,1.34153,962000000,8
1314842400000,1314842879000,1.34151,1.34167,1.34121,1.34154,814000000,8
1314842880000,1314843359000,1.34156,1.34204,1.34156,1.34189,793000000,8
1314843360000,1314843839000,1.34192,1.34245,1.34192,1.34232,674000000,8
1314843840000,1314844319000,1.3423,1.34251,1.34197,1.34211,490000000,8
1314844320000,1314844799000,1.34211,1.34237,1.34177,1.34186,704000000,8
1314844800000,1314845279000,1.34192,1.34251,1.3417,1.34251,566000000,8
1314845280000,1314845759000,1.34251,1.34263,1.3421,1.34249,716000000,8
1314845760000,1314846239000,1.34248,1.34259,1.34207,1.3421,837000000,8
1314846240000,1314846719000,1.3421,1.34223,1.34173,1.34212,639000000,8
1314846720000,1314847199000,1.34212,1.34332,1.34207,1.34309,819000000,8
1314847200000,1314847679000,1.34309,1.34362,1.34278,1.34343,696000000,8
1314847680000,1314848159000,1.34341,1.34351,1.34245,1.34257,582000000,8
1314848160000,1314848639000,1.34255,1.34344,1.34225,1.34338,611000000,8
1314848640000,1314849119000,1.34337,1.34348,1.34278,1.34278,513000000,8
1314849120000,1314849599000,1.34277,1.34363,1.34256,1.34257,745000000,8
1314849600000,1314850079000,1.34262,1.34346,1.34259,1.34292,669000000,8
1314850080000,1314850559000,1.34296,1.34343,1.3429,1.34318,704000000,8
1314850560000,1314851039000,1.34318,1.3432,1.34267,1.34292,437000000,8
1314851040000,1314851519000,1.34292,1.343,1.34246,1.34262,540000000,8
1314851520000,1314851999000,1.34262,1.34289,1.34248,1.34272,396000000,8
1314852000000,1314852479000,1.34272,1.34291,1.34259,1.34288,526000000,8
1314852480000,1314852959000,1.34288,1.34306,1.3426,1.34276,444000000,8
1314852960000,1314853439000,1.34276,1.34316,1.34257,1.34281,801000000,8
1314853440000,1314853919000,1.34281,1.34291,1.34235,1.34275,643000000,8
1314853920000,1314854399000,1.34277,1.34291,1.34248,1.34262,564000000,8
1314854400000,1314854879000,1.34266,1.34268,1.34229,1.34238,444000000,8
1314854880000,1314855359000,1.34238,1.34258,1.34213,1.34248,309000000,8
1314855360000,1314855839000,1.34246,1.34305,1.34246,1.34298,399000000,8
1314855840000,1314856319000,1.34301,1.34351,1.34297,1.343,354000000,8
1314856320000,1314856799000,1.34303,1.34324,1.34259,1.34259,414000000,8
1314856800000,1314857279000,1.34264,1.34295,1.34207,1.34212,535000000,8
1314857280000,1314857759000,1.34216,1.34217,1.34082,1.34133,525000000,8
1314857760000,1314858239000,1.3413,1.3413,1.34023,1.34027,611000000,8
1314858240000,1314858719000,1.34031,1.34064,1.33931,1.33933,712000000,8
1314858720000,1314859199000,1.33928,1.34003,1.33892,1.33892,1467000000,8
1314859200000,1314859679000,1.33892,1.33991,1.33888,1.33975,1431000000,8
1314859680000,1314860159000,1.33975,1.33996,1.3392,1.33976,1212000000,8
1314860160000,1314860639000,1.33976,1.34026,1.3387,1.3397,1420000000,8
1314860640000,1314861119000,1.33966,1.3401,1.33857,1.33876,1996000000,8
1314861120000,1314861599000,1.33875,1.33875,1.33725,1.33743,1740000000,8
1314861600000,1314862079000,1.33743,1.3375,1.33678,1.33702,1643000000,8
1314862080000,1314862559000,1.33698,1.33765,1.33671,1.33703,1731000000,8
1314862560000,1314863039000,1.33701,1.33728,1.33615,1.33639,1670000000,8
1314863040000,1314863519000,1.33642,1.33719,1.33609,1.33661,1792000000,8
1314863520000,1314863999000,1.33661,1.33693,1.33543,1.33543,1750000000,8
1314864000000,1314864479000,1.33543,1.33647,1.33543,1.33559,1522000000,8
1314864480000,1314864959000,1.33559,1.3362,1.33539,1.33604,1557000000,8
1314864960000,1314865439000,1.33604,1.33608,1.33533,1.33555,1400000000,8
1314865440000,1314865919000,1.33555,1.33627,1.33551,1.33579,1192000000,8
1314865920000,1314866399000,1.3358,1.33641,1.33493,1.33504,1665000000,8
1314866400000,1314866879000,1.33504,1.33589,1.33504,1.33539,1996000000,8
1314866880000,1314867359000,1.3354,1.33544,1.33456,1.33475,1723000000,8
1314867360000,1314867839000,1.33475,1.33499,1.33414,1.33472,1577000000,8
1314867840000,1314868319000,1.33469,1.33525,1.33324,1.33402,1886000000,8
1314868320000,1314868799000,1.33402,1.33499,1.33396,1.33474,1807000000,8
1314868800000,1314869279000,1.33473,1.33613,1.33472,1.33591,1617000000,8
1314869280000,1314869759000,1.33594,1.33615,1.3346,1.33479,1348000000,8
1314869760000,1314870239000,1.33479,1.33565,1.33466,1.33555,1585000000,8
1314870240000,1314870719000,1.33556,1.33571,1.33476,1.33501,1344000000,8
1314870720000,1314871199000,1.33503,1.33558,1.33491,1.33498,1337000000,8
1314871200000,1314871679000,1.33498,1.33571,1.33456,1.33545,1435000000,8
1314871680000,1314872159000,1.33555,1.3358,1.33518,1.3356,1315000000,8
1314872160000,1314872639000,1.33559,1.33587,1.335,1.335,1265000000,8
1314872640000,1314873119000,1.33498,1.33526,1.33452,1.33492,1319000000,8
1314873120000,1314873599000,1.33491,1.33511,1.33435,1.3344,1235000000,8
1314873600000,1314874079000,1.3344,1.33483,1.33429,1.33482,1073000000,8
1314874080000,1314874559000,1.33478,1.33557,1.33469,1.33524,1102000000,8
1314874560000,1314875039000,1.33524,1.33566,1.33428,1.3343,1146000000,8
1314875040000,1314875519000,1.3343,1.335,1.33415,1.33454,1215000000,8
1314875520000,1314875999000,1.33454,1.33481,1.33419,1.33463,947000000,8
1314876000000,1314876479000,1.33461,1.33495,1.33424,1.33429,1038000000,8
1314876480000,1314876959000,1.33429,1.33483,1.33427,1.33462,1138000000,8
1314876960000,1314877439000,1.33462,1.33513,1.33448,1.33512,806000000,8
1314877440000,1314877919000,1.33509,1.33539,1.33492,1.33504,705000000,8
1314877920000,1314878399000,1.33502,1.33518,1.33433,1.33433,1219000000,8
1314878400000,1314878879000,1.33433,1.33479,1.33413,1.33479,1201000000,8
1314878880000,1314879359000,1.33481,1.33523,1.3346,1.33488,1159000000,8
1314879360000,1314879839000,1.33488,1.33505,1.33444,1.33504,1167000000,8
1314879840000,1314880319000,1.33504,1.33505,1.33385,1.33386,1413000000,8
1314880320000,1314880799000,1.33386,1.33459,1.33373,1.33379,1368000000,8
1314880800000,1314881279000,1.33379,1.33413,1.33358,1.3337,1087000000,8
1314881280000,1314881759000,1.3337,1.33431,1.33334,1.33424,1370000000,8
1314881760000,1314882239000,1.33422,1.33468,1.33366,1.3338,1360000000,8
1314882240000,1314882719000,1.3338,1.33433,1.33358,1.33424,1112000000,8
1314882720000,1314883199000,1.33424,1.33464,1.33384,1.33459,939000000,8
1314883200000,1314883679000,1.33459,1.33465,1.33315,1.33316,1043000000,8
1314883680000,1314884159000,1.33316,1.33376,1.33299,1.33338,1355000000,8
1314884160000,1314884639000,1.33337,1.33396,1.33315,1.33344,1612000000,8
1314884640000,1314885119000,1.33344,1.33371,1.33255,1.33291,1422000000,8
1314885120000,1314885599000,1.33293,1.33337,1.3322,1.33251,1477000000,8
1314885600000,1314886079000,1.33253,1.33253,1.3293,1.32948,2356000000,8
1314886080000,1314886559000,1.3295,1.33007,1.32705,1.32788,2158000000,8
1314886560000,1314887039000,1.32788,1.3284,1.32693,1.32713,2234000000,8
1314887040000,1314887519000,1.32713,1.32829,1.32707,1.32758,1764000000,8
1314887520000,1314887999000,1.32758,1.32842,1.32724,1.32779,1797000000,8
1314888000000,1314888479000,1.32772,1.32811,1.32698,1.32731,1743000000,8
1314888480000,1314888959000,1.32731,1.32768,1.32615,1.32681,1675000000,8
1314888960000,1314889439000,1.32681,1.32795,1.32656,1.32775,1732000000,8
1314889440000,1314889919000,1.32775,1.32846,1.32696,1.32842,1740000000,8
1314889920000,1314890399000,1.32841,1.32945,1.32803,1.32915,1450000000,8
1314890400000,1314890879000,1.32915,1.32916,1.32754,1.32782,1272000000,8
1314890880000,1314891359000,1.32786,1.32904,1.32764,1.32851,1251000000,8
1314891360000,1314891839000,1.32851,1.32984,1.32847,1.32949,1295000000,8
1314891840000,1314892319000,1.32948,1.32948,1.32868,1.32896,1362000000,8
1314892320000,1314892799000,1.32894,1.32894,1.32812,1.32855,1296000000,8
1314892800000,1314893279000,1.32856,1.3289,1.32754,1.32786,1525000000,8
1314893280000,1314893759000,1.32786,1.32804,1.32746,1.32781,1269000000,8
1314893760000,1314894239000,1.32786,1.32796,1.32717,1.32728,1024000000,8
1314894240000,1314894719000,1.32729,1.32794,1.32692,1.32757,1162000000,8
1314894720000,1314895199000,1.32751,1.32751,1.32701,1.32729,894000000,8
1314895200000,1314895679000,1.32728,1.32779,1.32727,1.32742,807000000,8
1314895680000,1314896159000,1.32737,1.3277,1.32725,1.32769,861000000,8
1314896160000,1314896639000,1.32772,1.3285,1.32772,1.32828,1166000000,8
1314896640000,1314897119000,1.32828,1.32879,1.32807,1.32843,1014000000,8
1314897120000,1314897599000,1.32843,1.32855,1.32804,1.32811,745000000,8
1314897600000,1314898079000,1.32812,1.32851,1.328,1.32815,727000000,8
1314898080000,1314898559000,1.32815,1.32879,1.32806,1.32865,809000000,8
